"Sep09","Oct09","Nov09","Dec09","Jan10","Feb10","Mars10","Apr10","May10","June10","Aug10","Sep10","Oct10","Nov10","Dec10","Jan11","Feb11","Mars11","Apr11","May11","June11"
2446,525,1426,1735,39,1,122,0.005,498,2652,960,1679,1646,2367,1594,362,11,0.005,0.005,0.005,86
13,160,1989,605,1437,1126,0.005,13,85,120,156,371,285,84,272,476,435,496,1144,3171,34
244,113,165,173,1503,675,2092,31,112,136,328,98,243,388,800,1455,1106,33,44,929,123
0.005,0.005,0.005,0.005,161,40,477,4294,298,0.005,0.005,0.005,0.005,47,128,140,159,2020,373,0.005,0.005
0.005,0.005,0.005,21,414,1035,280,564,520,0.005,0.005,0.005,0.005,0.005,0.005,756,925,1081,2097,0.005,187
326,217,55,35,214,762,0.005,0.005,117,150,161,217,29,38,160,366,137,425,662,1086,2308
0.005,0.005,0.005,0.005,0.005,73,842,145,189,0.005,0.005,0.005,0.005,11,238,611,729,1257,1056,0.005,0.005
9,176,142,64,31,1,79,457,2732,34,5,1,22,106,199,169,28,6,5,53,4
280,402,803,923,0.005,0.005,0.005,0.005,189,57,413,306,882,329,265,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,151,0.005,208,0.005,0.005,243,164,488,146,241,414,181,0.005,0.005,0.005,0.005,1544
766,482,497,170,0.005,0.005,181,0.005,38,274,269,0.005,353,176,77,42,216,0.005,0.005,0.005,0.005
0.005,0.005,0.005,105,48,150,0.005,0.005,84,0.005,0.005,0.005,17,142,125,42,1163,0.005,0.005,154,0.005
155,725,114,470,20,0.005,0.005,0.005,0.005,68,109,166,119,171,53,16,0.005,0.005,0.005,0.005,0.005
0.005,0.005,9,0.005,412,751,573,0.005,0.005,53,0.005,0.005,0.005,0.005,42,152,140,5,0.005,1,262
28,622,46,98,466,292,16,0.005,0.005,0.005,7,28,26,5,68,97,21,0.005,0.005,0.005,34
30,69,3,31,0.005,0.005,0.005,0.005,0.005,0.005,183,214,548,140,15,93,178,5,4,0.005,0.005
86,0.005,28,482,36,0.005,0.005,0.005,0.005,17,107,64,183,14,82,164,0.005,0.005,0.005,0.005,104
222,161,0.005,293,0.005,15,0.005,0.005,0.005,0.005,110,94,187,251,24,5,0.005,2,8,0.005,0.005
0.005,6,3,20,0.005,0.005,19,0.005,4,49,357,417,0.005,37,43,40,60,0.005,0.005,0.005,0.005
54,11,0.005,0.005,0.005,0.005,0.005,0.005,33,626,225,91,28,184,8,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,17,14,48,0.005,468,0.005,0.005,0.005,36,26,0.005,62,61,6,0.005,5,49
3,197,0.005,44,0.005,0.005,96,0.005,0.005,0.005,1,3,41,152,181,7,0.005,0.005,0.005,0.005,0.005
3,567,5,10,0.005,0.005,9,0.005,0.005,0.005,0.005,32,50,96,0.005,0.005,0.005,0.005,0.005,0.005,0.005
46,6,0.005,1,2,0.005,0.005,0.005,0.005,169,26,8,8,7,18,53,14,0.005,2,0.005,501
0.005,306,11,18,0.005,0.005,0.005,0.005,0.005,0.005,72,64,41,127,37,0.005,0.005,0.005,0.005,0.005,19
20,104,103,40,0.005,0.005,0.005,0.005,0.005,26,18,19,137,12,80,41,4,1,0.005,0.005,0.005
0.005,0.005,12,0.005,226,62,12,0.005,8,55,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,123,37
0.005,111,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,406,12,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
104,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,372,89,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
37,38,4,8,99,119,6,1,1,3,94,34,26,10,17,5,8,0.005,0.005,0.005,0.005
0.005,15,31,8,141,0.005,14,0.005,0.005,0.005,0.005,0.005,0.005,0.005,10,52,82,47,25,0.005,0.005
20,40,0.005,62,0.005,0.005,0.005,0.005,0.005,0.005,4,49,89,35,97,5,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,98,117,146,20,30,0.005,0.005,0.005,0.005,0.005,0.005,44,0.005,0.005,0.005,8,0.005
52,66,0.005,0.005,0.005,0.005,0.005,0.005,0.005,196,44,94,8,5,0.005,0.005,0.005,0.005,0.005,0.005,0.005
14,0.005,0.005,0.005,0.005,0.005,4,0.005,0.005,17,55,50,0.005,0.005,78,71,19,0.005,0.005,0.005,5
0.005,0.005,0.005,4,0.005,0.005,0.005,0.005,0.005,59,105,4,25,18,43,0.005,0.005,0.005,0.005,0.005,45
8,17,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,145,118,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,32,2,1,0.005,0.005,65,0.005,0.005,0.005,0.005,114,0.005,37,1,0.005,0.005,0.005,0.005,0.005,0.005
10,0.005,8,19,6,12,23,0.005,0.005,52,15,11,57,20,14,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,9,8,101,0.005,11,0.005,0.005,0.005,0.005,0.005,8,3,18,0.005,36,41,0.005,0.005
11,26,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,40,109,1,4,8,3,3,0.005,0.005,0.005,0.005
32,6,38,59,3,0.005,0.005,0.005,0.005,17,15,9,22,1,0.005,0.005,0.005,0.005,0.005,0.005,25
14,0.005,2,15,0.005,0.005,0.005,0.005,0.005,0.005,91,65,12,14,1,0.005,0.005,0.005,0.005,0.005,0.005
0.005,12,0.005,0.005,0.005,0.005,68,6,0.005,0.005,0.005,0.005,0.005,6,0.005,0.005,0.005,83,18,0.005,8
8,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,11,0.005,0.005,29,146,0.005,0.005,0.005,0.005,0.005,0.005
56,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,252,3,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
25,27,3,0.005,0.005,0.005,0.005,0.005,0.005,3,63,35,8,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005
12,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,11,71,56,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,10
37,18,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,14,13,43,4,16,4,0.005,0.005,0.005,0.005,0.005
26,19,15,10,0.005,0.005,0.005,0.005,0.005,0.005,37,0.005,37,18,0.005,0.005,0.005,0.005,0.005,0.005,0.005
7,47,5,0.005,0.005,0.005,0.005,1,49,0.005,0.005,0.005,27,12,2,1,0.005,0.005,0.005,6,9
0.005,6,0.005,0.005,0.005,0.005,35,0.005,0.005,0.005,0.005,0.005,0.005,54,22,7,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,21,0.005,0.005,59,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,4,25,1,0.005
97,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,97,8,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,2,0.005,90,63,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,43,41,42,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,131
19,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,15,7,85,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,21,34,38,0.005,0.005,0.005,4,0.005,0.005,0.005,9,7
11,44,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,36,0.005,11,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005
2,3,1,1,19,33,2,1,1,0.005,9,18,1,0.005,0.005,5,5,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,107,0.005,0.005,0.005,0.005,0.005,0.005
0.005,1,0.005,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,59,13,8,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,16,7,1,0.005,0.005,25,0.005,0.005,0.005,0.005,3,9,13,4,2,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,39,9,0.005,21,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,1,25,1,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,8,27,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,101,0.005,0.005,1,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,25,25,0.005,0.005,5,0.005,0.005,0.005,0.005,0.005,0.005
0.005,30,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,9,0.005,5,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,23,7,5,7,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,38,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
1,4,0.005,3,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,10,25,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,7,0.005,5,0.005,0.005,6,0.005,0.005,0.005,0.005,3,8,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,25,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,35,0.005,0.005,0.005,3,0.005,0.005,0.005,0.005,3,0.005,8
3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,33,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,7,4,0.005,0.005,0.005,0.005,0.005,0.005,5,0.005,0.005,4,0.005,6,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,40,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
37,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005
52,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
4,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,3,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,13
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,27,0.005,0.005,0.005,0.005,0.005,0.005
7,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,3,7,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
4,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,13,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,11,0.005,0.005,0.005,1,5,2,0.005,1,0.005,0.005,0.005,0.005
34,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,20,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,11,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005
10,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,7,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,17,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,14,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,22,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,20,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,15,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
22,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,5,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,16,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,12,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,9,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,10,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
14,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,2,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,15,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
6,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
10,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,4,1,0.005,0.005,0.005,0.005,0.005,0.005
10,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,4,0.005,0.005
0.005,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,7,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,8,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,1,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,1,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
