Rownames;OTU_id;group_name;Sep09;Oct09;Nov09;Dec09;Jan10;Feb10;Mars10;Apr10;May10;June10;Aug10;Sep10;Oct10;Nov10;Dec10;Jan11;Feb11;Mars11;Apr11;May11;June11;;
OTU_1;OTU_1;Calcihapto. E. huxieyi;2446;525;1426;1735;39;1;122;0;498;2652;960;1679;1646;2367;1594;362;11;0;0;0;86;;
OTU_2;OTU_2;Phaeocystales;13;160;1989;605;1437;1126;0;13;85;120;156;371;285;84;272;476;435;496;1144;3171;34;;
OTU_3;OTU_3;Chrysochromulinaceae;244;113;165;173;1503;675;2092;31;112;136;328;98;243;388;800;1455;1106;33;44;929;123;;
OTU_4;OTU_4;Calcihapto. Clade F;0;0;0;0;161;40;477;4294;298;0;0;0;0;47;128;140;159;2020;373;0;0;;
OTU_5;OTU_5;Chrysochromulinaceae;0;0;0;21;414;1035;280;564;520;0;0;0;0;0;0;756;925;1081;2097;0;187;;
OTU_6;OTU_6;Prymnesiaceae;326;217;55;35;214;762;0;0;117;150;161;217;29;38;160;366;137;425;662;1086;2308;;
OTU_7;OTU_7;Phaeocystales;0;0;0;0;0;73;842;145;189;0;0;0;0;11;238;611;729;1257;1056;0;0;;
OTU_8;OTU_8;Prymnesiaceae;9;176;142;64;31;1;79;457;2732;34;5;1;22;106;199;169;28;6;5;53;4;;
OTU_9;OTU_9;Calcihaptophycidae;280;402;803;923;0;0;0;0;189;57;413;306;882;329;265;0;0;0;0;0;0;;
OTU_10;OTU_10;Chrysochromulinaceae;0;0;0;0;151;0;208;0;0;243;164;488;146;241;414;181;0;0;0;0;1544;;
OTU_11;OTU_11;Chrysochromulinaceae;766;482;497;170;0;0;181;0;38;274;269;0;353;176;77;42;216;0;0;0;0;;
OTU_12;OTU_12;Calcihapto. Clade F;0;0;0;105;48;150;0;0;84;0;0;0;17;142;125;42;1163;0;0;154;0;;
OTU_13;OTU_13;Calcihaptophycidae;155;725;114;470;20;0;0;0;0;68;109;166;119;171;53;16;0;0;0;0;0;;
OTU_14;OTU_14;Chrysochromulinaceae;0;0;9;0;412;751;573;0;0;53;0;0;0;0;42;152;140;5;0;1;262;;
OTU_15;OTU_15;HAP-3-4-5;28;622;46;98;466;292;16;0;0;0;7;28;26;5;68;97;21;0;0;0;34;;
OTU_16;OTU_16;Chrysochromulinaceae;30;69;3;31;0;0;0;0;0;0;183;214;548;140;15;93;178;5;4;0;0;;
OTU_17;OTU_17;Prymnesiaceae;86;0;28;482;36;0;0;0;0;17;107;64;183;14;82;164;0;0;0;0;104;; 
OTU_18;OTU_18;Chrysochromulinaceae;222;161;0;293;0;15;0;0;0;0;110;94;187;251;24;5;0;2;8;0;0;;
OTU_19;OTU_19;Prymnesiaceae;0;6;3;20;0;0;19;0;4;49;357;417;0;37;43;40;60;0;0;0;0;;
OTU_20;OTU_20;Chrysochromulinaceae;54;11;0;0;0;0;0;0;33;626;225;91;28;184;8;0;0;0;0;0;0;;
OTU_21;OTU_21;Chrysochromulinaceae;0;0;0;0;17;14;48;0;468;0;0;0;36;26;0;62;61;6;0;5;49;;
OTU_22;OTU_22;Phaeocystales;3;197;0;44;0;0;96;0;0;0;1;3;41;152;181;7;0;0;0;0;0;; 
OTU_23;OTU_23;Clade D;3;567;5;10;0;0;9;0;0;0;0;32;50;96;0;0;0;0;0;0;0;;
OTU_24;OTU_24;Prymnesiaceae;46;6;0;1;2;0;0;0;0;169;26;8;8;7;18;53;14;0;2;0;501;;
OTU_25;OTU_25;Chrysochromulinaceae;0;306;11;18;0;0;0;0;0;0;72;64;41;127;37;0;0;0;0;0;19;;
OTU_26;OTU_26;Prymnesiaceae;20;104;103;40;0;0;0;0;0;26;18;19;137;12;80;41;4;1;0;0;0;;
OTU_27;OTU_27;Chrysochromulinaceae;0;0;12;0;226;62;12;0;8;55;0;0;0;0;0;0;0;0;0;123;37;;
OTU_28;OTU_28;Chrysochromulinaceae;0;111;0;0;0;0;0;0;0;0;406;12;0;0;0;0;0;0;0;0;0;;
OTU_29;OTU_29;Calcihaptophycidae;104;0;0;0;0;0;0;0;0;0;372;89;0;0;0;0;0;0;0;0;0;;
OTU_30;OTU_30;HAP-3-4-5;37;38;4;8;99;119;6;1;1;3;94;34;26;10;17;5;8;0;0;0;0;;
OTU_31;OTU_31;Prymnesiaceae;0;15;31;8;141;0;14;0;0;0;0;0;0;0;10;52;82;47;25;0;0;;
OTU_32;OTU_32;Prymnesiaceae;20;40;0;62;0;0;0;0;0;0;4;49;89;35;97;5;0;0;0;0;0;;
OTU_33;OTU_33;Chrysochromulinaceae;0;0;0;0;98;117;146;20;30;0;0;0;0;0;0;44;0;0;0;8;0;;
OTU_34;OTU_34;Prymnesiaceae;52;66;0;0;0;0;0;0;0;196;44;94;8;5;0;0;0;0;0;0;0;;
OTU_35;OTU_35;Prymnesiaceae;14;0;0;0;0;0;4;0;0;17;55;50;0;0;78;71;19;0;0;0;5;;
OTU_36;OTU_36;Chrysochromulinaceae;0;0;0;4;0;0;0;0;0;59;105;4;25;18;43;0;0;0;0;0;45;;
OTU_37;OTU_37;Prymnesiaceae;8;17;0;0;0;0;0;0;0;0;145;118;2;0;0;0;0;0;0;0;0;;
OTU_38;OTU_38;Chrysochromulinaceae;0;32;2;1;0;0;65;0;0;0;0;114;0;37;1;0;0;0;0;0;0;;
OTU_39;OTU_39;Prymnesiaceae;10;0;8;19;6;12;23;0;0;52;15;11;57;20;14;0;0;0;0;0;0;;
OTU_40;OTU_40;Prymnesiaceae;0;0;0;9;8;101;0;11;0;0;0;0;0;8;3;18;0;36;41;0;0;;
OTU_41;OTU_41;Phaeocystales;11;26;0;0;0;0;0;0;0;0;40;109;1;4;8;3;3;0;0;0;0;;
OTU_42;OTU_42;Prymnesiaceae;32;6;38;59;3;0;0;0;0;17;15;9;22;1;0;0;0;0;0;0;25;;
OTU_43;OTU_43;Phaeocystales;14;0;2;15;0;0;0;0;0;0;91;65;12;14;1;0;0;0;0;0;0;;
OTU_44;OTU_44;Phaeocystales;0;12;0;0;0;0;68;6;0;0;0;0;0;6;0;0;0;83;18;0;8;;
OTU_45;OTU_45;Phaeocystales;8;0;0;0;0;0;0;0;0;0;11;0;0;29;146;0;0;0;0;0;0;;
OTU_46;OTU_46;Pavlovophyceae;56;0;0;0;0;0;0;0;0;252;3;1;0;0;0;0;0;0;0;0;0;;
OTU_47;OTU_47;Calcihaptophycidae;25;27;3;0;0;0;0;0;0;3;63;35;8;0;1;0;0;0;0;0;0;;
OTU_48;OTU_48;Calcihaptophycidae;12;1;0;0;0;0;0;0;0;11;71;56;0;0;0;0;1;0;0;0;10;;
OTU_49;OTU_49;Chrysochromulinaceae;37;18;0;1;0;0;0;0;0;0;14;13;43;4;16;4;0;0;0;0;0;;
OTU_50;OTU_50;Prymnesiaceae;26;19;15;10;0;0;0;0;0;0;37;0;37;18;0;0;0;0;0;0;0;;
OTU_51;OTU_51;Prymnesiaceae;7;47;5;0;0;0;0;1;49;0;0;0;27;12;2;1;0;0;0;6;9;;
OTU_52;OTU_52;Calcihaptophycidae;0;6;0;0;0;0;35;0;0;0;0;0;0;54;22;7;0;0;0;0;0;;
OTU_53;OTU_53;Calcihaptophycidae;0;0;0;0;0;21;0;0;59;0;0;0;0;0;0;0;0;4;25;1;0;;
OTU_54;OTU_54;Chrysochromulinaceae;97;0;0;0;0;0;0;0;0;0;97;8;0;0;0;0;0;0;0;0;0;;
OTU_55;OTU_55;HAP-3-4-5;0;0;0;2;0;90;63;2;0;0;0;0;0;0;0;0;1;0;0;0;0;;
OTU_56;OTU_56;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;41;42;0;0;;
OTU_57;OTU_57;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;;
OTU_58;OTU_58;Prymnesiaceae;19;0;0;0;0;0;0;0;0;0;15;7;85;0;0;0;0;0;0;0;0;;
OTU_59;OTU_59;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;21;34;38;0;0;0;4;0;0;0;9;7;;
OTU_60;OTU_60;Prymnesiaceae;11;44;0;0;0;0;0;0;0;0;36;0;11;3;0;0;0;0;0;0;0;;
OTU_61;OTU_61;HAP-3-4-5;2;3;1;1;19;33;2;1;1;0;9;18;1;0;0;5;5;0;0;0;0;;
OTU_62;OTU_62;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;;
OTU_63;OTU_63;Calcihaptophycidae;0;1;0;3;0;0;0;0;0;0;0;59;13;8;0;0;0;0;0;0;0;;
OTU_64;OTU_64;Prymnesiaceae;0;16;7;1;0;0;25;0;0;0;0;3;9;13;4;2;0;0;0;0;0;;
OTU_65;OTU_65;Calcihapto. Clade F;0;0;0;0;0;39;9;0;21;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_66;OTU_66;Chrysochromulinaceae;0;1;25;1;0;0;1;0;0;0;0;0;8;27;0;0;0;0;0;0;0;;
OTU_67;OTU_67;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;101;0;0;1;3;0;0;0;0;0;0;0;;
OTU_68;OTU_68;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;25;25;0;0;5;0;0;0;0;0;0;;
OTU_69;OTU_69;Prymnesiaceae;0;30;0;0;0;0;0;0;0;0;0;9;0;5;0;0;0;0;0;0;0;;
OTU_70;OTU_70;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;23;7;5;7;0;0;0;0;0;0;0;;
OTU_71;OTU_71;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;;
OTU_72;OTU_72;Chrysochromulinaceae;1;4;0;3;0;0;2;0;0;0;0;0;10;25;0;0;0;0;0;0;0;;
OTU_73;OTU_73;Chrysochromulinaceae;0;7;0;5;0;0;6;0;0;0;0;3;8;2;0;0;0;0;0;0;0;;
OTU_74;OTU_74;Phaeocystales;0;25;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;;
OTU_75;OTU_75;Prymnesiaceae;0;0;0;0;0;0;0;0;0;35;0;0;0;3;0;0;0;0;3;0;8;;
OTU_76;OTU_76;Phaeocystales;3;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;;
OTU_77;OTU_77;Chrysochromulinaceae;0;0;0;0;0;0;7;4;0;0;0;0;0;0;5;0;0;4;0;6;0;;
OTU_78;OTU_78;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;;
OTU_79;OTU_79;Prymnesiaceae;37;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;;
OTU_80;OTU_80;Prymnesiaceae;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_81;OTU_81;Prymnesiaceae;4;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;13;;
OTU_82;OTU_82;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;;
OTU_83;OTU_83;Prymnesiaceae;7;0;0;1;0;0;0;0;0;3;7;3;0;0;0;0;0;0;0;0;0;;
OTU_84;OTU_84;Calcihaptophycidae;4;0;1;0;0;0;0;0;0;0;0;13;4;0;0;0;0;0;0;0;0;;
OTU_85;OTU_85;Prymnesiaceae;0;1;0;0;0;0;0;0;11;0;0;0;1;5;2;0;1;0;0;0;0;;
OTU_86;OTU_86;Calcihaptophycidae;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_87;OTU_87;Calcihaptophycidae;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_88;OTU_88;Prymnesiaceae;0;11;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;;
OTU_89;OTU_89;Prymnesiaceae;10;2;0;0;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;;
OTU_90;OTU_90;Chrysochromulinaceae;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_91;OTU_91;HAP-3-4-5;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_92;OTU_92;Prymnesiaceae;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_93;OTU_93;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;;
OTU_94;OTU_94;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;;
OTU_95;OTU_95;Calcihaptophycidae;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_96;OTU_96;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;;
OTU_97;OTU_97;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;;
OTU_98;OTU_98;Chrysochromulinaceae;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_99;OTU_99;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;;
OTU_100;OTU_100;Chrysochromulinaceae;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_101;OTU_101;HAP-3-4-5;14;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
OTU_102;OTU_102;Prymnesiaceae;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;;
OTU_103;OTU_103;Phaeocystales;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;;
OTU_104;OTU_104;Prymnesiaceae;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_105;OTU_105;Pavlovophyceae;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;;
OTU_106;OTU_106;Chrysochromulinaceae;6;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;;
OTU_107;OTU_107;HAP-3-4-5;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
OTU_108;OTU_108;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;;
OTU_109;OTU_109;Calcihaptophycidae;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_110;OTU_110;Calcihaptophycidae;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;0;0;;
OTU_111;OTU_111;Phaeocystales;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_112;OTU_112;Prymnesiaceae;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;;
OTU_113;OTU_113;Calcihaptophycidae;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;
OTU_114;OTU_114;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;;
OTU_115;OTU_115;Phaeocystales;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;;
OTU_116;OTU_116;Calcihaptophycidae;3;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;;
OTU_117;OTU_117;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;;
OTU_118;OTU_118;Prymnesiaceae;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
OTU_119;OTU_119;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;
OTU_120;OTU_120;Prymnesiaceae;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_121;OTU_121;HAP-3-4-5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_122;OTU_122;Chrysochromulinaceae;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_123;OTU_123;Prymnesiaceae;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_124;OTU_124;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;
OTU_125;OTU_125;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
OTU_126;OTU_126;Phaeocystales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_127;OTU_127;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
OTU_128;OTU_128;Phaeocystales;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_129;OTU_129;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;;
OTU_130;OTU_130;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
OTU_131;OTU_131;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;
OTU_132;OTU_132;Phaeocystales;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;
OTU_133;OTU_133;Prymnesiaceae;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_134;OTU_134;HAP-3-4-5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_135;OTU_135;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;;
OTU_136;OTU_136;Pavlovophyceae;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_137;OTU_137;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_138;OTU_138;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_139;OTU_139;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;
OTU_140;OTU_140;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;
OTU_141;OTU_141;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_142;OTU_142;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_143;OTU_143;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_144;OTU_144;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;
OTU_145;OTU_145;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_146;OTU_146;Prymnesiaceae;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
OTU_147;OTU_147;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;
OTU_148;OTU_148;Chrysochromulinaceae;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_149;OTU_149;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;
OTU_150;OTU_150;HAP-3-4-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;
OTU_151;OTU_151;Prymnesiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
OTU_152;OTU_152;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
OTU_153;OTU_153;Chrysochromulinaceae;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
OTU_154;OTU_154;Pavlovophyceae;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
OTU_155;OTU_155;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
OTU_156;OTU_156;Calcihaptophycidae;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;;;;;;;;;;